2019 07 13 03:21:07:775 [main ] INFO  - Country [code=BRN  , name=Brunei                                  , lanuages=Asia                                                                                       cities=328000] 
2019 07 13 03:21:07:781 [main ] INFO  - Country [code=BTN  , name=Bhutan                                  , lanuages=Asia                                                                                       cities=2124000] 
2019 07 13 03:21:07:784 [main ] INFO  - Country [code=BVT  , name=Bouvet Island                           , lanuages=Antarctica                                                                                 cities=0] 
2019 07 13 03:21:07:791 [main ] INFO  - Country [code=BWA  , name=Botswana                                , lanuages=Africa                                                                                     cities=1622000] 
2019 07 13 03:21:07:799 [main ] INFO  - Country [code=CAF  , name=Central African Republic                , lanuages=Africa                                                                                     cities=3615000] 
2019 07 13 03:21:07:809 [main ] INFO  - Country [code=CAN  , name=Canada                                  , lanuages=North America                                                                              cities=31147000] 
2019 07 13 03:21:07:815 [main ] INFO  - Country [code=CCK  , name=Cocos (Keeling) Islands                 , lanuages=Oceania                                                                                    cities=600] 
2019 07 13 03:21:07:821 [main ] INFO  - Country [code=CHE  , name=Switzerland                             , lanuages=Europe                                                                                     cities=7160400] 
2019 07 13 03:21:07:830 [main ] INFO  - Country [code=CHL  , name=Chile                                   , lanuages=South America                                                                              cities=15211000] 
2019 07 13 03:21:07:873 [main ] INFO  - Country [code=CHN  , name=China                                   , lanuages=Asia                                                                                       cities=1277558000] 
2019 07 13 03:21:07:877 [main ] INFO  - Country [code=CIV  , name=CÃ´te dÂ’Ivoire                         , lanuages=Africa                                                                                     cities=14786000] 
2019 07 13 03:21:07:883 [main ] INFO  - Country [code=CMR  , name=Cameroon                                , lanuages=Africa                                                                                     cities=15085000] 
2019 07 13 03:21:07:890 [main ] INFO  - Country [code=COD  , name=Congo, The Democratic Republic of the   , lanuages=Africa                                                                                     cities=51654000] 
2019 07 13 03:21:07:895 [main ] INFO  - Country [code=COG  , name=Congo                                   , lanuages=Africa                                                                                     cities=2943000] 
2019 07 13 03:21:07:900 [main ] INFO  - Country [code=COK  , name=Cook Islands                            , lanuages=Oceania                                                                                    cities=20000] 
2019 07 13 03:21:07:908 [main ] INFO  - Country [code=COL  , name=Colombia                                , lanuages=South America                                                                              cities=42321000] 
2019 07 13 03:21:07:911 [main ] INFO  - Country [code=COM  , name=Comoros                                 , lanuages=Africa                                                                                     cities=578000] 
2019 07 13 03:21:07:915 [main ] INFO  - Country [code=CPV  , name=Cape Verde                              , lanuages=Africa                                                                                     cities=428000] 
2019 07 13 03:21:07:920 [main ] INFO  - Country [code=CRI  , name=Costa Rica                              , lanuages=North America                                                                              cities=4023000] 
2019 07 13 03:21:07:925 [main ] INFO  - Country [code=CUB  , name=Cuba                                    , lanuages=North America                                                                              cities=11201000] 
2019 07 13 03:21:07:930 [main ] INFO  - Country [code=CXR  , name=Christmas Island                        , lanuages=Oceania                                                                                    cities=2500] 
